Sample in Buffer,Sample in Window,TRIGGER,pl_top_inst/ext2dtcm_icb_cmd_wdata[31:0],pl_top_inst/ext2itcm_icb_cmd_wdata[31:0],u_ila_0_ifu_o_pc[31:0],u_ila_0_ifu_o_ir_1[6:0],pl_top_inst/riscv_top_inst/u_e203_soc_top/u_e203_subsys_top/u_e203_subsys_main/u_e203_cpu_top/u_e203_cpu/u_e203_core/u_e203_ifu/u_e203_ifu_ifetch/ifu_o_ir_1[7:7],u_ila_0_ifu_o_ir_2[9:8],pl_top_inst/riscv_top_inst/u_e203_soc_top/u_e203_subsys_top/u_e203_subsys_main/u_e203_cpu_top/u_e203_cpu/u_e203_core/u_e203_ifu/u_e203_ifu_ifetch/ifu_o_ir_2[11:10],u_ila_0_ifu_o_ir_3[16:12],pl_top_inst/riscv_top_inst/u_e203_soc_top/u_e203_subsys_top/u_e203_subsys_main/u_e203_cpu_top/u_e203_cpu/u_e203_core/u_e203_ifu/u_e203_ifu_ifetch/ifu_o_ir[19:17],u_ila_0_ifu_o_ir[31:20],pl_top_inst/ext2dtcm_icb_cmd_ready,u_ila_0_ext2dtcm_icb_cmd_valid,u_ila_0_ext2itcm_icb_cmd_ready,u_ila_0_ext2itcm_icb_cmd_valid,u_ila_0_fshflg_ps
0,0,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
1,1,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
2,2,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
3,3,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
4,4,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
5,5,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
6,6,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
7,7,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
8,8,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
9,9,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
10,10,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
11,11,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
12,12,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
13,13,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
14,14,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
15,15,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
16,16,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
17,17,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
18,18,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
19,19,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
20,20,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
21,21,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
22,22,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
23,23,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
24,24,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
25,25,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
26,26,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
27,27,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
28,28,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
29,29,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
30,30,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
31,31,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
32,32,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
33,33,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
34,34,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
35,35,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
36,36,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
37,37,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
38,38,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
39,39,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
40,40,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
41,41,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
42,42,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
43,43,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
44,44,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
45,45,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
46,46,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
47,47,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
48,48,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
49,49,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
50,50,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
51,51,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
52,52,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
53,53,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
54,54,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
55,55,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
56,56,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
57,57,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
58,58,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
59,59,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
60,60,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
61,61,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
62,62,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
63,63,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
64,64,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
65,65,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
66,66,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
67,67,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
68,68,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
69,69,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
70,70,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
71,71,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
72,72,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
73,73,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
74,74,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
75,75,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
76,76,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
77,77,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
78,78,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
79,79,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
80,80,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
81,81,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
82,82,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
83,83,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
84,84,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
85,85,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
86,86,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
87,87,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
88,88,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
89,89,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
90,90,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
91,91,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
92,92,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
93,93,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
94,94,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
95,95,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
96,96,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
97,97,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
98,98,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
99,99,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
100,100,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
101,101,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
102,102,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
103,103,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
104,104,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
105,105,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
106,106,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
107,107,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
108,108,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
109,109,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
110,110,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
111,111,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
112,112,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
113,113,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
114,114,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
115,115,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
116,116,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
117,117,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
118,118,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
119,119,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
120,120,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
121,121,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
122,122,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
123,123,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
124,124,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
125,125,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
126,126,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
127,127,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
128,128,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
129,129,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
130,130,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
131,131,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
132,132,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
133,133,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
134,134,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
135,135,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
136,136,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
137,137,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
138,138,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
139,139,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
140,140,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
141,141,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
142,142,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
143,143,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
144,144,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
145,145,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
146,146,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
147,147,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
148,148,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
149,149,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
150,150,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
151,151,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
152,152,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
153,153,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
154,154,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
155,155,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
156,156,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
157,157,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
158,158,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
159,159,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
160,160,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
161,161,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
162,162,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
163,163,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
